baseline_method,baseline_type,count,percentage,cumulative_percentage
SVM,TS,12,37.5,37.5
PLS-DA,TS,9,28.12,65.62
ML (Other),TS,6,18.75,84.37
CONTAM,SC,2,6.25,90.62
GLCM + Color-Space,TS,1,3.12,93.74
Linear Regression,TS,1,3.12,96.86
HoneyBee Daylight Model,SC,1,3.12,99.98
