baseline_method,baseline_type,count,percentage,cumulative_percentage
EnergyPlus,SC,31,59.62,59.62
TRNSYS,SC,7,13.46,73.08
Linear Regression,TS,3,5.77,78.85
SVM,TS,2,3.85,82.7
Random Forest,TS,2,3.85,86.55
SVR,TS,2,3.85,90.4
CFD,SC,1,1.92,92.32
NSGA-II,SC,1,1.92,94.24
Radiance Model,SC,1,1.92,96.16
Traditional Simulation Model,SC,1,1.92,98.08
FMM (Fast Marching Method),SC,1,1.92,100.0
