baseline_method,baseline_type,count,percentage,cumulative_percentage
SVM,TS,12,42.86,42.86
PLS-DA,TS,9,32.14,75.0
ML (Other),TS,6,21.43,96.43
GLCM + Color-Space,TS,1,3.57,100.0
