baseline_method,baseline_type,count,percentage,cumulative_percentage
Genetic Algorithm,TS,3,37.5,37.5
SVM,TS,2,25.0,62.5
StationSeeker,TS,2,25.0,87.5
ODP,TS,1,12.5,100.0
