baseline_method,baseline_type,count,percentage,cumulative_percentage
B-spline FFD,SC,3,33.33,33.33
Traditional Simulation Model,SC,3,33.33,66.66
CFD,SC,2,22.22,88.88
Structural Homology Baseline,SC,1,11.11,99.99
